ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Coolbet,888sport,Tipico,DraftKings,Pinnacle,Betfair,Betsson,Nordic Bet,GTbets,BetMGM,BetRivers,Unibet (NL),1xBet,PMU (FR),Parions Sport (FR),Betclic (FR),Marathon Bet,Bovada,Unibet (SE),LeoVegas (SE),Everygame,LowVig.ag,BetOnline.ag,Matchbook,BetAnything,William Hill,BetUS,Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Coolbet,Vigfree 888sport,Vigfree Tipico,Vigfree DraftKings,Vigfree Pinnacle,Vigfree Betfair,Vigfree Betsson,Vigfree Nordic Bet,Vigfree GTbets,Vigfree BetMGM,Vigfree BetRivers,Vigfree Unibet (NL),Vigfree 1xBet,Vigfree PMU (FR),Vigfree Parions Sport (FR),Vigfree Betclic (FR),Vigfree Marathon Bet,Vigfree Bovada,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree Everygame,Vigfree LowVig.ag,Vigfree BetOnline.ag,Vigfree Matchbook,Vigfree BetAnything,Vigfree William Hill,Vigfree BetUS,Unibet (FR),Codere (IT),Vigfree Unibet (FR),Vigfree Codere (IT),Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
9bf653b690f964947fc4c4928677b9e6,basketball_ncaab,NCAAB,2026-02-14T21:00:00Z,2026-02-14T22:57:43Z,Tarleton State Texans @ Abilene Christian Wildcats,Tarleton State Texans,4.9,,,,5.75,,6.5,,,,7.0,2.44,7.5,5.75,6.5,,,,,,,,,,,,,,,,0.171,,,,0.1324,,0.1265,,,,0.0952,0.3802,0.1037,0.1282,0.1182,,,,,,,,,,,,,,,,,,,,,BetMGM,7.5,6.37,0.18,2.0,Not Found
c5a217a161ef7b4dcface9dbbe4407f6,basketball_ncaab,NCAAB,2026-02-14T22:06:40Z,2026-02-14T22:57:43Z,Purdue Boilermakers @ Iowa Hawkeyes,Iowa Hawkeyes,6.6,,,,5.1,,6.5,2.12,,,5.2,4.73,5.5,6.25,6.75,,,,,,,,,,,,,,,,0.1212,,,,0.1516,,0.1265,0.4364,,,0.1457,0.182,0.1523,0.1213,0.1195,,,,,,,,,,,,,,,,,,,,,FanDuel,6.6,5.78,0.14,2.0,Not Found
5cb5182d7617c99b7b2c6bbae8fb7665,basketball_ncaab,NCAAB,2026-02-14T21:00:12Z,2026-02-14T22:57:43Z,Louisville Cardinals @ Baylor Bears,Baylor Bears,18.0,,,,12.0,,19.0,6.37,,,10.5,10.47,15.5,,,,,,,,,,,,,,,,,,0.0327,,,,0.0466,,0.0361,0.128,,,,0.067,0.0372,,,,,,,,,,,,,,,,,,,,,,,DraftKings,19.0,17.26,0.1,2.0,Not Found
5306ef940a6d5759977bc6f891dc9a11,basketball_ncaab,NCAAB,2026-02-14T21:45:00Z,2026-02-14T22:57:43Z,New Orleans Privateers @ Houston Christian Huskies,New Orleans Privateers,2.82,,,,2.3,,2.6,,,,,,,2.2,2.25,,,,,,,,,,,,,,,,0.3252,,,,0.3906,,0.3545,,,,,,,0.4068,0.4097,,,,,,,,,,,,,,,,,,,,,FanDuel,2.82,2.65,0.06,2.0,Not Found
c51b4872a004e0f2fdc32c2806b6c932,basketball_ncaab,NCAAB,2026-02-14T22:04:00Z,2026-02-14T22:57:43Z,Toledo Rockets @ Bowling Green Falcons,Toledo Rockets,3.0,,,,,,2.6,,,,2.42,2.55,2.6,2.43,2.5,,,,,,,,,,,,,,,,0.3043,,,,,,0.3545,,,,0.3594,0.3627,0.3545,0.3656,0.3667,,,,,,,,,,,,,,,,,,,,,FanDuel,3.0,2.84,0.06,2.0,Not Found
a793221c453a20fa21c6d96268e8e099,basketball_ncaab,NCAAB,2026-02-14T22:02:46Z,2026-02-14T22:57:43Z,Sam Houston St Bearkats @ Kennesaw St Owls,Kennesaw St Owls,2.32,,,,2.05,,2.0,,,,2.0,2.05,2.1,2.02,2.07,,,,,,,,,,,,,,,,0.4011,,,,0.4445,,0.4675,,,,0.4488,0.4582,0.4457,0.4499,0.4491,,,,,,,,,,,,,,,,,,,,,FanDuel,2.32,2.24,0.03,2.0,Not Found
6569a9d000b90194c1e939116efd8f93,basketball_ncaab,NCAAB,2026-02-14T22:32:42Z,2026-02-14T23:35:01Z,Grambling St Tigers @ Texas Southern Tigers,Texas Southern Tigers,2.16,,,,2.05,,2.7,,,,2.55,,1.95,2.1,2.17,,,,,,,,,,,,,,,,0.4303,,,,0.4445,,0.3404,,,,0.344,,0.4832,0.4275,0.4255,,,,,,,,,,,,,,,,,,,,2026-02-14,DraftKings,2.7,2.42,0.12,2.0,Not Found
06d2966eba5aef996b477778eb3458d6,basketball_ncaab,NCAAB,2026-02-14T22:03:55Z,2026-02-14T23:35:01Z,Tennessee Tech Golden Eagles @ Southern Indiana Screaming Eagles,Tennessee Tech Golden Eagles,1.98,,,,1.85,,2.4,,,,2.1,2.49,1.85,2.0,2.04,,,,,,,,,,,,,,,,0.4716,,,,0.4925,,0.3878,,,,0.4256,0.3719,0.5085,0.4559,0.4577,,,,,,,,,,,,,,,,,,,,2026-02-14,DraftKings,2.4,2.24,0.07,2.0,Not Found
8926170ceaab39c9dbd37c1573e5dae4,basketball_ncaab,NCAAB,2026-02-14T23:30:00Z,2026-02-14T23:35:01Z,Yale Bulldogs @ Harvard Crimson,Yale Bulldogs,1.45,,,,,,1.48,1.49,,1.45,1.45,1.49,1.69,1.67,1.83,1.45,,,,1.47,1.42,,,,1.49,1.49,,,,1.49,0.6663,,,,,,0.6455,0.6511,,0.6525,0.6525,0.6551,0.5578,0.5579,0.5142,0.654,,,,0.6441,0.6854,,,,0.6551,0.6551,,,,0.6538,,,,,2026-02-14,BetMGM,1.69,1.58,0.07,2.0,Not Found
c456fc3d3ebb4815146d330a9d39c418,basketball_ncaab,NCAAB,2026-02-14T22:02:56Z,2026-02-14T23:35:01Z,Wofford Terriers @ UNC Greensboro Spartans,Wofford Terriers,9.0,,,,5.75,,6.5,,,,5.4,5.97,7.0,7.0,8.0,,,,,,,,,,,,,,,,0.0839,,,,0.1324,,0.1265,,,,0.138,0.1373,0.1127,0.0997,0.0908,,,,,,,,,,,,,,,,,,,,2026-02-14,FanDuel,9.0,8.68,0.04,2.0,Not Found
2790734c4901a3a7610d0002d3f0ac47,basketball_ncaab,NCAAB,2026-02-14T23:40:52Z,2026-02-14T23:35:01Z,Mississippi St Bulldogs @ Ole Miss Rebels,Ole Miss Rebels,1.59,,,,1.67,,1.74,1.57,,1.52,1.66,1.57,1.65,1.72,1.55,1.51,,,,,1.51,,,,1.57,1.57,,,,1.59,0.5989,,,,0.5555,,0.5435,0.6169,,0.6144,0.5512,0.6208,0.5758,0.5407,0.6142,0.6311,,,,,0.6424,,,,0.6208,0.6208,,,,0.6112,,,,,2026-02-14,DraftKings,1.74,1.67,0.04,2.0,Not Found
